id,bpm,accuracy,time_ms,time_iso,synced
281,90.0,3,1783267911326,2026-07-05T23:11:51.326,1
282,89.0,3,1783267912325,2026-07-05T23:11:52.325,1
283,88.0,3,1783267913325,2026-07-05T23:11:53.325,1
284,87.0,3,1783267914324,2026-07-05T23:11:54.324,1
285,86.0,3,1783267915325,2026-07-05T23:11:55.325,1
286,85.0,3,1783267916325,2026-07-05T23:11:56.325,1
287,86.0,3,1783267917326,2026-07-05T23:11:57.326,1
288,87.0,3,1783267918326,2026-07-05T23:11:58.326,1
289,88.0,3,1783267919326,2026-07-05T23:11:59.326,1
290,89.0,3,1783267920325,2026-07-05T23:12:00.325,1
291,90.0,3,1783267921325,2026-07-05T23:12:01.325,1
292,92.0,3,1783267922325,2026-07-05T23:12:02.325,1
293,93.0,3,1783267923326,2026-07-05T23:12:03.326,1
294,94.0,3,1783267924326,2026-07-05T23:12:04.326,1
295,95.0,3,1783267925326,2026-07-05T23:12:05.326,1
296,95.0,3,1783267926325,2026-07-05T23:12:06.325,1
297,95.0,3,1783267927327,2026-07-05T23:12:07.327,1
298,94.0,3,1783267928324,2026-07-05T23:12:08.324,1
299,93.0,3,1783267929325,2026-07-05T23:12:09.325,1
300,92.0,3,1783267930325,2026-07-05T23:12:10.325,1
301,91.0,3,1783267931326,2026-07-05T23:12:11.326,1
302,90.0,3,1783267932325,2026-07-05T23:12:12.325,1
303,89.0,3,1783267933325,2026-07-05T23:12:13.325,1
304,88.0,3,1783267934325,2026-07-05T23:12:14.325,1
305,88.0,3,1783267935328,2026-07-05T23:12:15.328,1
306,89.0,3,1783267936326,2026-07-05T23:12:16.326,1
307,90.0,3,1783267937325,2026-07-05T23:12:17.325,1
308,91.0,3,1783267938325,2026-07-05T23:12:18.325,1
309,92.0,3,1783267939324,2026-07-05T23:12:19.324,1
310,92.0,3,1783267940325,2026-07-05T23:12:20.325,1
311,92.0,3,1783267941325,2026-07-05T23:12:21.325,1
312,91.0,3,1783267942325,2026-07-05T23:12:22.325,1
313,90.0,3,1783267943325,2026-07-05T23:12:23.325,1
314,89.0,3,1783267944335,2026-07-05T23:12:24.335,1
315,89.0,3,1783267945334,2026-07-05T23:12:25.334,1
316,89.0,3,1783267946334,2026-07-05T23:12:26.334,1
317,89.0,3,1783267947338,2026-07-05T23:12:27.338,1
318,89.0,3,1783267948327,2026-07-05T23:12:28.327,1
319,88.0,3,1783267949328,2026-07-05T23:12:29.328,1
320,88.0,3,1783267950327,2026-07-05T23:12:30.327,1
321,88.0,3,1783267951335,2026-07-05T23:12:31.335,1
322,89.0,3,1783267952332,2026-07-05T23:12:32.332,1
323,90.0,3,1783267953326,2026-07-05T23:12:33.326,1
324,92.0,3,1783267954327,2026-07-05T23:12:34.327,1
